IDs         length   Exptl.  resolution  R-factor FreeRvalue
3OLOA       118      XRAY        2.090    0.18    0.23
5CAJA       278      XRAY        1.650    0.15    0.18
5AZXA       103      XRAY        1.580    0.23    0.25
4R7QA       222      XRAY        1.980    0.18    0.20
4B6XA        90      XRAY        2.200    0.16    0.19
2O1QA       145      XRAY        1.500    0.18    0.21
2IRUA       303      XRAY        1.650    0.19    0.24
2FE1A       156      XRAY        2.200    0.18    0.23
4LESA       206      XRAY        2.200    0.18    0.21
5CSMA       256      XRAY        2.000    0.19    0.24
3PA6A       107      XRAY        1.500    0.15    0.19
3SQZA       425      XRAY        1.200    0.14    0.15
5F7VA       400      XRAY        1.400    0.15    0.18
2UWAA       274      XRAY        1.800    0.18    0.20
5LSID       134      XRAY        2.000    0.22    0.25
3I7DA       163      XRAY        2.300    0.20    0.24
1JCDA        52      XRAY        1.300    0.15    0.21
4V0HA       266      XRAY        1.790    0.18    0.21
5FJZA       270      XRAY        1.900    0.15    0.19
3ZDSA       433      XRAY        1.700    0.20    0.25
4HATB       140      XRAY        1.780    0.14    0.17
5C9LA       369      XRAY        1.650    0.14    0.16
3V7DA       169      XRAY        2.310    0.20    0.22
3GV1A       147      XRAY        2.000    0.18    0.23
5IFRB        76      XRAY        2.200    0.19    0.24
5J4OA       231      XRAY        1.540    0.21    0.23
4KRUA       229      XRAY        1.370    0.17    0.19
5UGWA       175      XRAY        2.310    0.20    0.21
4CNNA       252      XRAY        1.000    0.13    0.15
4ICVA        85      XRAY        1.450    0.16    0.19
3VGZA       353      XRAY        1.700    0.22    0.24
4J2NA        58      XRAY        2.350    0.26    0.27
5HB7A       125      XRAY        0.820    0.12    0.13
4M0NA       232      XRAY        1.650    0.18    0.22
4PWOA       250      XRAY        1.520    0.17    0.19
3HKWA       581      XRAY        1.550    0.17    0.19
1Z9LA       128      XRAY        1.700    0.24    0.25
5X03B       365      XRAY        2.000    0.17    0.22
2OEMA       413      XRAY        1.700    0.19    0.21
1XKPC       143      XRAY        1.700    0.20    0.24
4RWRA       331      XRAY        2.100    0.19    0.24
4ENEA       446      XRAY        2.400    0.24    0.28
2C5KT        95      XRAY        2.050    0.18    0.22
5TJ3A       549      XRAY        1.700    0.16    0.18
2QSAA       109      XRAY        1.680    0.16    0.18
1VK3A       615      XRAY        2.150    0.19    0.25
2YZ2A       266      XRAY        2.300    0.22    0.29
4HZ2A       230      XRAY        1.500    0.14    0.20
3TY1A       384      XRAY        1.900    0.16    0.19
4ZH5A       426      XRAY        1.350    0.12    0.15
4U5WA       149      XRAY        1.860    0.17    0.20
1R8EA       278      XRAY        2.400    0.23    0.27
1VQOC       246      XRAY        2.200    0.21    0.25
3LHLA       287      XRAY        2.300    0.19    0.24
3BPQB        88      XRAY        2.200    0.24    0.27
3MGGA       276      XRAY        1.860    0.21    0.24
5D18A       216      XRAY        2.040    0.19    0.21
1TC5A       194      XRAY        1.930    0.20    0.23
2EI9A       240      XRAY        2.000    0.20    0.21
5A61A       435      XRAY        1.500    0.15    0.17
3MGDA       157      XRAY        1.900    0.18    0.23
3BMZA       199      XRAY        1.210    0.17    0.20
4Q7QA       266      XRAY        1.450    0.15    0.19
3ZJAA       140      XRAY        1.480    0.19    0.23
1QHQA       140      XRAY        1.550    0.20    0.23
4WU0A       361      XRAY        1.600    0.14    0.16
1B35A       260      XRAY        2.400    0.23    0.24
5CTTB        55      XRAY        1.700    0.19    0.22
3HTRA       120      XRAY        2.060    0.20    0.23
1IAPA       211      XRAY        1.900    0.24    0.28
4IWBA       165      XRAY        1.750    0.21    0.23
1QSDA       106      XRAY        2.200    0.21    0.30
2CDCA       366      XRAY        1.500    0.21    0.24
1W2WB       191      XRAY        1.750    0.17    0.20
2ICHA       335      XRAY        2.000    0.18    0.23
5X1ED       111      XRAY        2.000    0.22    0.27
4A0DA       531      XRAY        1.750    0.17    0.20
4NE3B        74      XRAY        1.800    0.23    0.25
2GWNA       452      XRAY        1.850    0.15    0.19
5D6HA       243      XRAY        2.400    0.22    0.27
1TKEA       224      XRAY        1.460    0.18    0.21
1VIAA       175      XRAY        1.570    0.20    0.23
4LM8A       700      XRAY        1.800    0.17    0.20
2RAUA       354      XRAY        1.850    0.16    0.19
3FQMA       177      XRAY        1.900    0.25    0.29
5GY7A       344      XRAY        1.430    0.14    0.16
4UJ7A       219      XRAY        1.540    0.19    0.22
3X3FA       142      XRAY        2.100    0.19    0.22
4KE2A       196      XRAY        1.800    0.20    0.25
3IM4C        45      XRAY        2.290    0.19    0.25
3U24A       572      XRAY        2.250    0.16    0.20
5HWAA       259      XRAY        1.350    0.14    0.17
3HWCA       515      XRAY        2.500    0.17    0.22
3KFOA       288      XRAY        1.900    0.19    0.24
4ROCA       360      XRAY        1.900    0.19    0.21
3E23A       211      XRAY        1.600    0.16    0.18
5VEBX       125      XRAY        2.340    0.21    0.25
4G6QA       182      XRAY        2.080    0.19    0.24
3LWCA       119      XRAY        1.400    0.18    0.19
3D3YA       425      XRAY        1.950    0.17    0.21
4V3LC        79      XRAY        1.530    0.18    0.19
2AH5A       210      XRAY        1.740    0.20    0.23
1G8PA       350      XRAY        2.100    0.23    0.25
5FREA       194      XRAY        1.900    0.17    0.21
1OYGA       447      XRAY        1.500    0.17    0.17
1DYOA       160      XRAY        2.100    0.19    0.25
2EABA       899      XRAY        1.120    0.18    0.19
3IRUA       277      XRAY        2.300    0.21    0.24
3KLJA       385      XRAY        2.100    0.22    0.25
2YGGA        70      XRAY        2.230    0.18    0.23
3QZXA       195      XRAY        1.300    0.13    0.16
5N41A        76      XRAY        1.350    0.16    0.20
3LODA       162      XRAY        2.500    0.23    0.26
3NA7A       256      XRAY        2.200    0.25    0.29
1XQRA       296      XRAY        2.100    0.21    0.25
5T5IG        82      XRAY        1.900    0.15    0.17
2JK1A       139      XRAY        2.100    0.23    0.24
2ANXA       146      XRAY        1.040    0.12    0.15
4BQHA       549      XRAY        1.750    0.19    0.22
4V1KA       138      XRAY        1.600    0.12    0.15
4ZV5A        91      XRAY        1.570    0.23    0.26
3GT5A       402      XRAY        1.700    0.18    0.22
2AOTA       292      XRAY        1.900    0.23    0.26
3Q1XA       313      XRAY        1.590    0.16    0.18
4YBRA       201      XRAY        1.650    0.19    0.22
1PM4A       119      XRAY        1.750    0.18    0.23
2HEYR       146      XRAY        2.000    0.22    0.25
1G8KA       825      XRAY        1.640    0.15    0.18
3ISAA       254      XRAY        1.760    0.17    0.21
1GRJA       158      XRAY        2.200    0.21    0.32
2WKNA       409      XRAY        2.080    0.22    0.27
4GYSA       621      XRAY        2.200    0.18    0.20
4TX5A       192      XRAY        1.800    0.17    0.20
3X38A        89      XRAY        1.800    0.21    0.23
5IVKA       577      XRAY        1.530    0.18    0.22
5JI7A       243      XRAY        1.510    0.17    0.19
2FBLA       153      XRAY        1.900    0.22    0.28
4H08A       200      XRAY        1.800    0.15    0.19
3CNBA       143      XRAY        2.000    0.21    0.26
3JV1A       182      XRAY        2.000    0.23    0.26
5NG0A       304      XRAY        2.000    0.17    0.19
3N3MA       342      XRAY        1.470    0.16    0.19
4RL3A       272      XRAY        1.570    0.15    0.17
4JE3B       101      XRAY        2.280    0.18    0.21
2ZE7A       253      XRAY        2.100    0.20    0.25
4G65A       461      XRAY        2.090    0.18    0.23
4JM1A        84      XRAY        1.400    0.13    0.17
4D05A       258      XRAY        1.650    0.15    0.19
1AGJA       242      XRAY        1.700    0.18    0.23
2GENA       197      XRAY        1.700    0.21    0.25
2EJXA       139      XRAY        1.790    0.22    0.26
3UEPA        96      XRAY        2.250    0.20    0.23
4JDUA       215      XRAY        1.470    0.18    0.20
3RPWA       365      XRAY        1.650    0.17    0.20
4JP0A       385      XRAY        1.800    0.19    0.23
1ORUA       195      XRAY        1.800    0.20    0.23
4N8NA       115      XRAY        1.870    0.19    0.23
5C1MA       296      XRAY        2.100    0.19    0.22
3F4MA       161      XRAY        1.700    0.19    0.24
3B81A       203      XRAY        2.100    0.20    0.23
5B2PA      1632      XRAY        1.700    0.18    0.20
4S12A       298      XRAY        1.550    0.14    0.17
5THXA       266      XRAY        1.550    0.16    0.19
5SX2A       728      XRAY        2.150    0.14    0.18
3C85A       183      XRAY        1.900    0.19    0.23
4ICIA       171      XRAY        1.400    0.12    0.15
3IXLA       240      XRAY        1.450    0.17    0.19
5KKOA        55      XRAY        1.550    0.17    0.21
2IVFA       976      XRAY        1.880    0.15    0.18
4LQEA       160      XRAY        2.100    0.24    0.28
3KF6B       105      XRAY        1.650    0.23    0.24
2BONA       332      XRAY        1.900    0.22    0.27
1O7IA       119      XRAY        1.200    0.19    0.22
1JF8A       131      XRAY        1.120    0.21    0.23
1NF1A       333      XRAY        2.500    0.27    0.37
2BTIA        63      XRAY        2.000    0.22    0.25
2F4EA       180      XRAY        2.320    0.25    0.28
3IQ0A       330      XRAY        1.790    0.25    0.26
4XFMA       464      XRAY        1.550    0.17    0.19
5JXGA       482      XRAY        1.800    0.15    0.17
3R4RA       296      XRAY        2.380    0.23    0.24
2VUNA       386      XRAY        1.890    0.18    0.20
1O98A       511      XRAY        1.400    0.19    0.20
4P5NA        77      XRAY        1.490    0.14    0.18
3DFRA       162      XRAY        1.700    0.15    1.00
3WEBA       132      XRAY        1.700    0.22    0.27
4F0WA       188      XRAY        1.240    0.18    0.19
4EUNA       200      XRAY        1.600    0.19    0.22
4JAQA       353      XRAY        1.730    0.18    0.22
3HYIA       295      XRAY        2.340    0.23    0.28
1KQ1A        77      XRAY        1.550    0.24    0.26
4KU0D        96      XRAY        1.150    0.14    0.17
3KZXA       231      XRAY        1.900    0.17    0.21
4OD6A        90      XRAY        1.200    0.18    0.21
2PD1A       104      XRAY        1.860    0.16    0.18
2F4MA       295      XRAY        1.850    0.19    0.24
1RJ8A       164      XRAY        2.230    0.20    0.24
2J8BA        79      XRAY        1.150    0.17    0.20
3LIUA       402      XRAY        2.050    0.17    0.22
1NSZA       347      XRAY        1.750    0.17    0.22
3X02A       393      XRAY        2.450    0.23    0.26
2OLSA       794      XRAY        2.400    0.20    0.25
5FPZA       110      XRAY        1.500    0.17    0.20
1I1QB       192      XRAY        1.900    0.22    0.25
2OBBA       142      XRAY        2.200    0.21    0.24
2E5AA       347      XRAY        2.100    0.22    0.26
4YN1A       357      XRAY        1.900    0.17    0.20
1RL6A       177      XRAY        2.000    0.26    0.30
4ZVAA       165      XRAY        2.000    0.22    0.26
3NO6A       248      XRAY        1.650    0.17    0.19
1H3OB        76      XRAY        2.300    0.23    0.27
1I88A       389      XRAY        1.450    0.20    0.22
2NTXA       365      XRAY        2.200    0.24    0.27
3OPCA       154      XRAY        2.090    0.22    0.26
4MP8A       339      XRAY        1.850    0.19    0.22
3LHNA       126      XRAY        1.420    0.17    0.18
2R0SA       285      XRAY        1.800    0.22    0.22
4CS6A       264      XRAY        2.500    0.20    0.25
3S6EA       114      XRAY        0.950    0.12    0.13
1WZ9A       375      XRAY        2.100    0.21    0.25
2B0OE       301      XRAY        2.060    0.18    0.23
2DYOA       297      XRAY        1.970    0.22    0.24
4EOJB       258      XRAY        1.650    0.20    0.21
4YWJA       276      XRAY        1.800    0.17    0.20
3BUTA       136      XRAY        1.910    0.23    0.30
1VGJA       184      XRAY        1.940    0.22    0.27
4RGWB       350      XRAY        2.300    0.19    0.23
4NJCA        65      XRAY        2.300    0.22    0.26
3MK4A       334      XRAY        2.420    0.20    0.23
4QY7A        93      XRAY        1.550    0.19    0.22
5J4AA       161      XRAY        2.000    0.20    0.24
5F30A       548      XRAY        1.450    0.14    0.17
4IIYA       371      XRAY        1.200    0.16    0.17
3CNYA       301      XRAY        1.850    0.17    0.21
3AIAA       211      XRAY        1.400    0.19    0.22
2AG4A       164      XRAY        1.800    0.19    0.22
5T5IC       270      XRAY        1.900    0.15    0.17
3OMDA       145      XRAY        1.500    0.15    0.19
5AYVA       309      XRAY        1.650    0.17    0.19
2E6XA        69      XRAY        2.000    0.22    0.25
2WSDA       513      XRAY        1.600    0.18    0.19
2UVPA       186      XRAY        1.700    0.18    0.21
3ESSA       230      XRAY        1.190    0.13    0.15
2ITBA       206      XRAY        2.050    0.17    0.23
5KXHA       355      XRAY        1.330    0.15    0.17
3RMQA       116      XRAY        1.850    0.16    0.19
5IJJA       192      XRAY        1.950    0.20    0.25
4MDAA       225      XRAY        1.700    0.20    0.24
4BMDA       204      XRAY        2.500    0.19    0.22
1ROCA       155      XRAY        1.500    0.20    0.25
4YARA       443      XRAY        1.750    0.20    0.24
2YYOA       171      XRAY        2.000    0.22    0.26
5IO9A       106      XRAY        1.300    0.19    0.21
2C1VA       338      XRAY        1.200    0.17    0.19
3RK6A       234      XRAY        2.000    0.19    0.24
3RHGA       365      XRAY        1.530    0.12    0.16
3DG6A       367      XRAY        1.600    0.19    0.20
2EKDA       207      XRAY        2.300    0.19    0.23
1LQTA       456      XRAY        1.050    0.13    0.15
4ZAHA       396      XRAY        2.240    0.20    0.25
5NVGA        76      XRAY        1.070    0.13    0.17
3LVUA       258      XRAY        1.790    0.17    0.20
5DTCA        88      XRAY        1.700    0.18    0.23
3SQNA       485      XRAY        2.310    0.23    0.28
3JSZA       525      XRAY        1.700    0.17    0.19
1MTZA       293      XRAY        1.800    0.24    0.24
1M6YA       301      XRAY        1.900    0.20    0.21
2X3MA       239      XRAY        1.450    0.18    0.20
1R9LA       309      XRAY        1.590    0.15    0.19
2WVQA       225      XRAY        2.000    0.23    0.27
3VA4A       132      XRAY        1.540    0.16    0.20
5BPXA       153      XRAY        1.880    0.14    0.17
4ARTA       279      XRAY        2.150    0.20    0.23
4JW0A       108      XRAY        1.700    0.16    0.19
4LITA       407      XRAY        2.400    0.19    0.24
2F22A       144      XRAY        1.420    0.16    0.18
2D3DA        88      XRAY        1.600    0.21    0.26
3G36A        55      XRAY        1.200    0.20    0.23
2CA5A        85      XRAY        2.100    0.20    0.24
3T7KA       256      XRAY        2.030    0.22    0.26
5LGGA       431      XRAY        2.150    0.18    0.23
1RZ4A       226      XRAY        2.100    0.21    0.22
1KQ6A       141      XRAY        1.180    0.13    0.18
1RXQA       178      XRAY        1.700    0.19    0.22
3O1FA        81      XRAY        1.400    0.17    0.20
2F8YA       223      XRAY        1.550    0.15    0.19
4YLQT       219      XRAY        1.400    0.14    0.17
5WZQA       640      XRAY        1.900    0.17    0.23
5DOCA       203      XRAY        1.940    0.18    0.22
4ZFOF        54      XRAY        1.900    0.18    0.21
1KNMA       130      XRAY        1.200    0.13    0.17
1EK9A       428      XRAY        2.100    0.21    0.26
5K4BA       368      XRAY        1.400    0.17    0.19
3VSNA       659      XRAY        2.000    0.17    0.19
4FFUA       176      XRAY        1.800    0.17    0.20
4P53A       420      XRAY        2.100    0.18    0.26
2ETBA       256      XRAY        1.650    0.21    0.22
4FZVB       239      XRAY        2.000    0.17    0.19
5L8EA       580      XRAY        2.300    0.19    0.22
1J34C        46      XRAY        1.550    0.18    0.21
3UC9A       233      XRAY        1.800    0.20    0.22
2JDIH       146      XRAY        1.900    0.18    0.22
2ZCUA       286      XRAY        1.800    0.24    0.28
4AFMA       134      XRAY        1.250    0.16    0.17
1AM2A       199      XRAY        2.200    0.19    0.25
2NRJA       346      XRAY        2.030    0.21    0.26
3PDIA       483      XRAY        2.400    0.30    0.34
2Q2BA       179      XRAY        2.500    0.23    0.29
3WE9A       274      XRAY        1.920    0.21    0.23
4ALZA       198      XRAY        1.400    0.19    0.23
3GGDA       245      XRAY        2.110    0.16    0.17
4WEBE       217      XRAY        2.400    0.20    0.26
5I2MA       422      XRAY        2.400    0.18    0.21
1JOVA       270      XRAY        1.570    0.21    0.26
3QX1A        84      XRAY        1.600    0.21    0.22
3M1XA       148      XRAY        1.200    0.11    0.13
3H5JA       171      XRAY        1.200    0.13    0.17
4EW7A       127      XRAY        1.670    0.20    0.23
5JRJA       351      XRAY        1.700    0.18    0.21
4J1QA       464      XRAY        2.350    0.23    0.25
2PNWA       380      XRAY        1.900    0.19    0.22
4EWIA       113      XRAY        2.280    0.21    0.24
4BJJB       100      XRAY        2.400    0.18    0.22
4NHBA       341      XRAY        1.900    0.19    0.25
3WVAA       170      XRAY        1.400    0.15    0.19
4RT1A       112      XRAY        1.700    0.17    0.20
2EF8A        84      XRAY        1.950    0.20    0.26
3CXNA       274      XRAY        1.550    0.19    0.21
3LYHA       126      XRAY        1.600    0.17    0.21
3ILWA       470      XRAY        1.600    0.18    0.20
5B68A       714      XRAY        1.700    0.20    0.22
1U60A       310      XRAY        1.610    0.14    0.18
1B9WA        95      XRAY        1.800    0.21    0.28
3B85A       208      XRAY        2.350    0.18    0.23
4G55A       369      XRAY        1.690    0.17    0.21
4EHCA       296      XRAY        1.980    0.17    0.21
3O0FA       301      XRAY        1.940    0.16    0.19
5F9PA       241      XRAY        2.080    0.16    0.21
2QH9A       184      XRAY        1.800    0.23    0.26
1VB5A       276      XRAY        2.200    0.21    0.23
3QPAA       197      XRAY        0.850    0.12    0.12
3BFMA       235      XRAY        1.700    0.18    0.23
3IMHA       338      XRAY        1.760    0.14    0.17
2I04A        85      XRAY        2.150    0.21    0.27
5LDDA       166      XRAY        2.500    0.20    0.24
2GKGA       127      XRAY        1.000    0.09    0.12
1QHDA       398      XRAY        1.950    0.19    0.22
3DLCA       219      XRAY        1.150    0.12    0.14
5AIGA       125      XRAY        1.160    0.11    0.13
4H4NA        67      XRAY        1.100    0.15    0.18
3BYQA       193      XRAY        1.700    0.14    0.17
2ED6A       170      XRAY        2.000    0.28    0.28
2FRGP       106      XRAY        1.190    0.18    0.19
3MPCA       103      XRAY        1.600    0.17    0.20
5EMZB        76      XRAY        1.660    0.17    0.21
1FNNA       389      XRAY        2.000    0.22    0.26
4IX3A       350      XRAY        1.350    0.14    0.17
5FLHA       192      XRAY        1.800    0.19    0.23
2NX2A       181      XRAY        2.000    0.18    0.22
3D59A       383      XRAY        1.500    0.14    0.19
4OVKA       341      XRAY        1.710    0.14    0.19
3UEJA        65      XRAY        1.300    0.14    0.16
5GGNA       164      XRAY        1.210    0.14    0.17
1IG0A       319      XRAY        1.800    0.22    0.23
4HDDA        79      XRAY        1.350    0.16    0.18
3ZUCA       153      XRAY        1.000    0.12    0.14
2YNMC       426      XRAY        2.100    0.20    0.23
4Z5SA       231      XRAY        1.580    0.17    0.21
2Z4UA       261      XRAY        1.100    0.14    0.15
4DZZA       206      XRAY        1.800    0.20    0.24
2I44A       324      XRAY        2.040    0.22    0.24
5A04A       339      XRAY        1.700    0.16    0.18
4YL8A       303      XRAY        1.500    0.16    0.19
3BB6A       127      XRAY        2.300    0.22    0.26
5T09A       239      XRAY        2.010    0.20    0.23
1JR7A       311      XRAY        2.000    0.19    0.24
3RRWA       268      XRAY        2.500    0.23    0.28
3OZ2A       397      XRAY        1.600    0.15    0.17
4HW6A       433      XRAY        1.700    0.15    0.18
4CS4A       274      XRAY        1.350    0.15    0.18
3TB6A       298      XRAY        2.210    0.19    0.23
3GNFB       387      XRAY        2.100    0.24    0.28
4QPNA       227      XRAY        1.250    0.12    0.17
5HJ1A       103      XRAY        1.500    0.19    0.22
2NRHA       219      XRAY        2.300    0.23    0.29
5B1AA       514      XRAY        1.500    0.15    0.17
4I99C        87      XRAY        2.300    0.22    0.24
3WMVA       153      XRAY        1.050    0.14    0.15
4I1LA        93      XRAY        2.100    0.24    0.29
3FM0A       345      XRAY        1.700    0.16    0.20
3LDVA       255      XRAY        1.770    0.15    0.18
1OO0B       110      XRAY        1.850    0.21    0.26
3T49A        73      XRAY        1.450    0.14    0.17
1SFUA        75      XRAY        2.000    0.24    0.27
4BFAA       338      XRAY        1.650    0.14    0.18
2COVD       104      XRAY        1.250    0.15    0.17
3AU4B        63      XRAY        1.900    0.21    0.23
2IEQA       109      XRAY        1.750    0.20    0.24
3D0FA       106      XRAY        1.640    0.17    0.22
4L9AA       292      XRAY        2.000    0.17    0.20
5CIYA       327      XRAY        1.590    0.17    0.19
3F43A       125      XRAY        1.590    0.18    0.21
4YX8A       182      XRAY        2.150    0.20    0.21
5FCSL       256      XRAY        2.010    0.18    0.20
3ZBGA       457      XRAY        1.850    0.16    0.20
2V66B       111      XRAY        2.100    0.24    0.31
2J6PA       152      XRAY        2.150    0.19    0.24
5FB7A       155      XRAY        1.500    0.19    0.22
2GAGD        99      XRAY        1.850    0.19    0.23
1XJCA       169      XRAY        2.100    0.20    0.23
4WZXA        95      XRAY        1.390    0.15    0.18
5M04A       360      XRAY        1.850    0.20    0.24
1ZUPA       315      XRAY        2.200    0.23    0.27
2HLZA       312      XRAY        1.850    0.22    0.25
3I09A       375      XRAY        1.800    0.14    0.17
4C3XA       530      XRAY        2.000    0.18    0.21
1THTA       305      XRAY        2.100    0.23    1.00
4JMQA       217      XRAY        1.900    0.20    0.25
2VYOA       254      XRAY        1.500    0.20    0.21
4IXAA       110      XRAY        2.150    0.21    0.26
5MU4A       201      XRAY        1.900    0.18    0.23
5DJOA       174      XRAY        1.740    0.17    0.22
4Z29A       325      XRAY        2.030    0.19    0.23
4GZKA       659      XRAY        1.690    0.13    0.17
5U35A       125      XRAY        1.800    0.21    0.25
3IISM       151      XRAY        1.400    0.15    0.19
4I6VA       434      XRAY        2.140    0.17    0.22
3DRWA       474      XRAY        1.900    0.17    0.22
3KXPA       314      XRAY        2.260    0.20    0.24
4MX6A       346      XRAY        1.100    0.13    0.15
5AN6A       123      XRAY        2.400    0.21    0.25
4U1QA       355      XRAY        2.080    0.17    0.21
2Z8XA       617      XRAY        1.480    0.18    0.19
5B7CA       235      XRAY        2.350    0.20    0.25
2JISA       515      XRAY        1.600    0.15    0.18
5B1AH        85      XRAY        1.500    0.15    0.17
1C1DA       355      XRAY        1.250    0.20    0.24
1DJ0A       264      XRAY        1.500    0.16    0.22
1QYIA       384      XRAY        2.500    0.22    0.28
4UDSA       214      XRAY        1.760    0.19    0.25
4ZOQA       100      XRAY        2.350    0.20    0.25
2XN6A       350      XRAY        1.290    0.21    0.23
4XLZA       267      XRAY        1.510    0.15    0.17
4JEMA       170      XRAY        1.550    0.19    0.22
1VQOW       154      XRAY        2.200    0.21    0.25
4QXLA       120      XRAY        1.510    0.20    0.23
1QNRA       344      XRAY        1.400    0.12    0.17
2NQ2A       337      XRAY        2.400    0.22    0.26
2F42A       179      XRAY        2.500    0.27    0.28
1VR3A       191      XRAY        2.060    0.16    0.20
1BJAA        95      XRAY        2.190    0.21    0.29
5KVGE       110      XRAY        1.400    0.15    0.18
3QSGA       312      XRAY        1.900    0.19    0.20
2NUJA       163      XRAY        2.000    0.16    0.19
3I2KA       587      XRAY        1.510    0.15    0.15
2EHPA       126      XRAY        1.300    0.23    0.24
4C5WA       387      XRAY        1.700    0.17    0.20
3ZGJA       371      XRAY        1.950    0.18    0.21
5AKRA       378      XRAY        0.870    0.11    0.13
3KP1E       121      XRAY        2.010    0.17    0.22
3U28B        58      XRAY        1.900    0.20    0.23
2O7RA       338      XRAY        1.400    0.20    0.22
2XQHA       281      XRAY        1.990    0.16    0.18
4KC5A       923      XRAY        2.140    0.18    0.23
3MSTA       244      XRAY        1.350    0.12    0.15
3Q18A       239      XRAY        1.700    0.16    0.19
1UPQA       123      XRAY        1.480    0.18    0.24
3BS6A       280      XRAY        1.800    0.18    0.21
5HL8A        92      XRAY        1.930    0.23    0.28
2W1JA       212      XRAY        1.240    0.17    0.18
4EGUA       119      XRAY        0.950    0.14    0.15
1ZIWA       680      XRAY        2.100    0.21    0.25
4QFUA       484      XRAY        1.900    0.14    0.17
4ZPXA       413      XRAY        2.030    0.18    0.24
2QV5A       261      XRAY        1.900    0.18    0.24
4HLSA       132      XRAY        1.450    0.15    0.18
4C16A       280      XRAY        1.930    0.18    0.23
3BT4A        86      XRAY        2.100    0.25    0.29
4DT5A       143      XRAY        1.150    0.14    0.16
5KHTA        47      XRAY        1.500    0.21    0.25
4EIJA        65      XRAY        2.200    0.19    0.23
4ZOVA       387      XRAY        2.000    0.19    0.22
1VL7A       157      XRAY        1.500    0.16    0.18
4M7CA       200      XRAY        2.050    0.22    0.26
4CHDA       162      XRAY        2.400    0.21    0.24
5KOEA       476      XRAY        1.790    0.17    0.22
4PIOA       323      XRAY        1.510    0.15    0.18
2ZUXA       591      XRAY        1.320    0.17    0.18
4FC3E       164      XRAY        2.260    0.22    0.26
3MY2A       175      XRAY        2.200    0.20    0.22
3EP6A       260      XRAY        1.700    0.22    0.24
2HNUA        81      XRAY        2.000    0.22    0.24
3B73A       111      XRAY        2.120    0.20    0.23
1DWKA       156      XRAY        1.650    0.14    0.18
4RE1C       149      XRAY        2.200    0.21    0.25
2JDJA       105      XRAY        2.000    0.19    0.22
4EVQA       375      XRAY        1.400    0.14    0.17
3L6NA       219      XRAY        1.650    0.18    0.20
1DQGA       135      XRAY        1.700    0.20    0.21
1K8KE       178      XRAY        2.000    0.22    0.25
2ZCMA       192      XRAY        1.330    0.19    0.22
3H0NA       188      XRAY        1.450    0.14    0.16
3SXUA       150      XRAY        1.850    0.19    0.21
3UGOA       245      XRAY        2.100    0.20    0.24
1FVIA       297      XRAY        2.000    0.19    0.27
3NDCA       264      XRAY        2.000    0.19    0.22
2POKA       481      XRAY        1.900    0.18    0.23
2YWLA       180      XRAY        1.600    0.19    0.21
3ENPA       177      XRAY        2.480    0.21    0.26
3VZ9B       106      XRAY        1.030    0.19    0.21
4R1DA       569      XRAY        1.750    0.18    0.21
3G0OA       303      XRAY        1.800    0.23    0.23
4UAFE        87      XRAY        1.700    0.17    0.19
2C81A       418      XRAY        1.700    0.19    0.21
3MREA       293      XRAY        1.100    0.18    0.20
2XZOA       623      XRAY        2.400    0.20    0.23
2VO9A       179      XRAY        1.800    0.20    0.24
4XPXA       130      XRAY        1.030    0.16    0.17
3OGPA       116      XRAY        1.700    0.19    0.23
3WGXA       113      XRAY        0.920    0.14    0.16
3TR3A        82      XRAY        2.460    0.19    0.22
4R6KA       428      XRAY        1.940    0.19    0.26
4E15A       303      XRAY        1.500    0.17    0.20
1PQ4A       291      XRAY        1.900    0.22    0.21
4FD7A       238      XRAY        1.800    0.23    0.27
3OYOA       225      XRAY        2.100    0.21    0.25
4GQBA       637      XRAY        2.060    0.19    0.22
1OW1A       195      XRAY        1.800    0.21    0.25
3X0IA       170      XRAY        0.910    0.14    1.00
2BM8A       236      XRAY        2.500    0.19    0.24
3GMSA       340      XRAY        1.760    0.20    0.23
3CCYA       203      XRAY        2.010    0.20    0.24
5WSFA       118      XRAY        1.110    0.15    0.18
3P19A       266      XRAY        2.050    0.19    0.24
2IC2A       115      XRAY        1.300    0.21    0.23
3PI7A       349      XRAY        1.710    0.17    0.21
4X9XA       299      XRAY        1.200    0.12    0.14
4FUVA       233      XRAY        2.150    0.21    0.24
1QCSA       211      XRAY        1.900    0.21    0.24
3SIGA       277      XRAY        1.280    0.15    0.16
1ATGA       231      XRAY        1.200    0.16    0.18
3V7DB       464      XRAY        2.310    0.20    0.22
4O8VA       308      XRAY        1.810    0.18    0.21
1PT6A       213      XRAY        1.870    0.19    0.24
5MN9C        44      XRAY        2.050    0.18    0.22
2OFZA       138      XRAY        1.170    0.16    0.19
4IX9A        94      XRAY        2.330    0.15    0.21
1RP3B        88      XRAY        2.300    0.24    0.26
5J2YA        80      XRAY        2.400    0.23    0.25
3US4A        98      XRAY        1.500    0.19    0.21
3D4OA       293      XRAY        2.100    0.19    0.24
5MQPA       624      XRAY        2.000    0.18    0.22
4N5HX       317      XRAY        1.710    0.14    0.17
2JKSA       315      XRAY        1.900    0.24    0.29
4NWYA       134      XRAY        2.000    0.20    0.24
4HROA        90      XRAY        1.150    0.17    0.17
4CT0B       143      XRAY        2.450    0.19    0.23
3K1RB        74      XRAY        2.300    0.21    0.26
4NRHB       178      XRAY        2.200    0.18    0.23
